Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic,Validation,Link
Installation & Setup,"command not found after global install",PATH missing npm bin,Add npm prefix/bin to PATH,Use npx instead,Configure .npmrc prefix,"npm config get prefix",Command executes,https://docs.npmjs.com/common-errors/
Installation & Setup,"npm install corrupts shebang",Line ending conversion,Set binary:true in .gitattributes,Use LF endings only,Package with correct endings,"head -n1 script.js",Shebang intact,https://github.com/npm/npm/issues/19151
Installation & Setup,"Unknown user/project config warning",npm 11.2+ strict parsing,Update to npm 11.5+,Remove invalid configs,Use .npmrc correctly,"npm config list",No warnings,https://github.com/npm/cli/issues/8153
Installation & Setup,".bin directory not created",Old package-lock format,Delete and regenerate lock,Update to npm 7+,Add bin property manually,"ls node_modules/.bin",Binaries present,https://github.com/npm/cli/issues/2147
Installation & Setup,"Binary not executable",Missing permissions,chmod +x on file,Set bin correctly,Use proper shebang,"ls -la node_modules/.bin",Execute permission set,https://docs.npmjs.com/cli/v10/configuring-npm/package-json#bin
Cross-Platform,"Path separators differ Windows/Unix",Hard-coded separators,Use path.join(),Always use forward slash,Normalize paths,"node -e ""console.log(path.sep)""",Works on all OS,https://nodejs.org/api/path.html
Cross-Platform,"Case sensitivity issues Windows",NTFS case-insensitive,Lowercase all paths,Use path normalization,Test on Windows CI,"npm query on Windows",Query succeeds,https://github.com/npm/cli/issues
Cross-Platform,"Config paths differ by OS",Platform conventions,Use os.homedir(),Check XDG vars,Platform-specific logic,"echo $XDG_CONFIG_HOME",Config found,https://specifications.freedesktop.org/basedir-spec/
Cross-Platform,"Line ending issues CRLF/LF",Git autocrlf,Set .gitattributes,Use .editorconfig,Force LF in repo,"file script.js",Correct line endings,https://git-scm.com/docs/gitattributes
Cross-Platform,"Windows long path issues",260 char limit,Enable long paths,Shorten paths,Use relative paths,"Get-ItemProperty HKLM:\SYSTEM\CurrentControlSet\Control\FileSystem",No path errors,https://docs.microsoft.com/windows/win32/fileio/maximum-file-path-limitation
Argument Parsing,"Arguments lost with --workspace",npm workspace handling,Quote arguments,Use -- separator,Avoid workspace flag,"npm run script -- --arg",Args passed correctly,https://github.com/npm/cli/issues
Argument Parsing,"Complex argv parsing",Manual parsing,Use minimist,Use commander.js,Use yargs,"node script.js --test",Options parsed,https://github.com/tj/commander.js
Argument Parsing,"Subcommand routing fails",Poor command structure,Use commander commands,Yargs command modules,Manual router,"cli subcommand --help",Subcommand executes,https://yargs.js.org/docs/#api-reference-commandmodule
Argument Parsing,"Required args missing",No validation,Add .requiredOption(),Yargs .demandOption(),Manual checks,"cli command",Error on missing args,https://github.com/tj/commander.js#required-option-values
Argument Parsing,"Help text missing",No help configured,Use .description(),Auto-generate help,Add examples,"cli --help",Help displayed,https://github.com/tj/commander.js#automated-help
