Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Performance,Query taking too long,Missing or inefficient indexes,Add basic index on WHERE clause columns,Create composite index for multi-column queries,Analyze query plan and create optimal index strategy with partial indexes,EXPLAIN ANALYZE SELECT ...,Check execution time and plan cost,https://www.postgresql.org/docs/current/sql-explain.html
Performance,Sequential scan on large table,No suitable index available,CREATE INDEX on frequently queried columns,Create composite index matching query patterns,Implement covering index with INCLUDE clause,EXPLAIN (ANALYZE BUFFERS) SELECT ...,Verify index scan is used instead of seq scan,https://www.postgresql.org/docs/current/indexes-types.html
Performance,High shared_buffers cache miss,Insufficient shared memory allocation,Increase shared_buffers to 25% of RAM,Tune effective_cache_size to total available memory,Optimize work_mem and maintenance_work_mem based on workload,SELECT * FROM pg_stat_bgwriter,Monitor blks_hit ratio >95%,https://www.postgresql.org/docs/current/runtime-config-resource.html
JSONB,JSONB queries are slow,Missing GIN index on JSONB column,CREATE INDEX USING GIN on JSONB column,Use jsonb_path_ops for containment queries,Create expression indexes for specific JSON paths,EXPLAIN SELECT * FROM table WHERE jsonb_col @> '{}',Verify GIN index is used in query plan,https://www.postgresql.org/docs/current/datatype-json.html
JSONB,JSONPath query not using index,Incompatible operator class for query type,Use jsonb_ops for key existence queries,Create appropriate expression index for path,Optimize query to use indexable operators,EXPLAIN SELECT * FROM table WHERE jsonb_col @? '$.path',Check if Bitmap Heap Scan is used,https://www.postgresql.org/docs/current/functions-json.html
Indexing,Index not being used,Query doesn't match index columns,Reorder WHERE clause columns to match index,Create multi-column index with correct column order,Add partial index with WHERE condition for filtered queries,EXPLAIN SELECT * FROM table WHERE col1 = ? AND col2 = ?,Verify Index Scan or Bitmap Index Scan in plan,https://www.postgresql.org/docs/current/indexes-multicolumn.html
Indexing,Duplicate or unused indexes,Multiple indexes serving same purpose,Drop obviously redundant indexes,Analyze index usage with pg_stat_user_indexes,Implement comprehensive index audit and cleanup strategy,SELECT * FROM pg_stat_user_indexes WHERE idx_scan = 0,Confirm idx_scan increases for remaining indexes,https://www.postgresql.org/docs/current/monitoring-stats.html
Connection,Too many connections error,max_connections limit exceeded,Increase max_connections temporarily,Implement connection pooling with PgBouncer,Configure connection pooling + optimize application connection handling,SELECT count(*) FROM pg_stat_activity,Monitor active connections <80% of max,https://www.postgresql.org/docs/current/runtime-config-connection.html
Connection,Connection timeouts,Long-running queries blocking connections,Set statement_timeout to reasonable value,Optimize slow queries causing timeouts,Implement query timeout + connection pooling + query optimization,SELECT pid query_start query FROM pg_stat_activity WHERE state = 'active',Verify no queries run longer than expected timeout,https://www.postgresql.org/docs/current/runtime-config-client.html
Autovacuum,Table bloat increasing,Autovacuum not keeping up with updates,Run manual VACUUM on heavily updated tables,Tune autovacuum_vacuum_scale_factor for table,Configure per-table autovacuum settings + monitor dead tuple ratio,SELECT relname n_dead_tup n_tup_upd FROM pg_stat_user_tables,Monitor n_dead_tup decreases after vacuum,https://www.postgresql.org/docs/current/routine-vacuuming.html
Autovacuum,Autovacuum taking too long,Insufficient maintenance_work_mem,Increase maintenance_work_mem for sessions,Set higher maintenance_work_mem globally,Optimize vacuum cost delay + parallel vacuum for large indexes,SELECT * FROM pg_stat_progress_vacuum,Check blocks_vacuumed progress and completion,https://www.postgresql.org/docs/current/progress-reporting.html
Replication,Replication lag increasing,Primary generating WAL faster than standby can replay,Check network bandwidth and standby I/O,Tune wal_sender_timeout and recovery settings,Optimize standby hardware + parallel recovery + compression,SELECT * FROM pg_stat_replication,Monitor flush_lag and replay_lag metrics,https://www.postgresql.org/docs/current/monitoring-stats.html
Replication,Replication slot retention,Logical replication slot preventing WAL cleanup,Advance or drop unused replication slots,Monitor slot lag with pg_replication_slots,Implement automated slot management + monitoring alerts,SELECT slot_name restart_lsn FROM pg_replication_slots,Verify restart_lsn advances with commits,https://www.postgresql.org/docs/current/logicaldecoding-explanation.html
Partitioning,Partition pruning not working,Query not using partition key in WHERE clause,Add partition key to WHERE clause,Rewrite query to enable constraint exclusion,Redesign partitioning strategy to match query patterns,EXPLAIN SELECT * FROM partitioned_table WHERE date_col = ?,Check for constraint exclusion in plan,https://www.postgresql.org/docs/current/ddl-partitioning.html
Partitioning,Query scanning all partitions,Partition elimination disabled or ineffective,Enable enable_partition_pruning,Ensure WHERE clause uses partition key with appropriate operators,Create partition-wise joins + optimize partition key usage,SHOW enable_partition_pruning,Verify only relevant partitions in query plan,https://www.postgresql.org/docs/current/runtime-config-query.html
