Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
App Router & Server Components,Error: Cannot use useState in Server Component,Using React hooks in Server Component,Add 'use client' directive at top of file,Move state logic to separate Client Component,Use Server Actions for state mutations,grep -r "useState\|useEffect" app/,Check for 'use client' directive,https://nextjs.org/docs/app/building-your-application/rendering/client-components
App Router & Server Components,Hydration mismatch error,Server/client rendering differences,Use dynamic import with ssr: false,Ensure consistent rendering logic,Use suppressHydrationWarning sparingly,Check browser dev tools console,Verify server and client render same content,https://nextjs.org/docs/messages/react-hydration-error
App Router & Server Components,Cannot access window/document in Server Component,Browser APIs used in server environment,Move browser API calls to useEffect,Use dynamic import for client-only components,Check typeof window !== 'undefined',grep -r "window\|document" app/,Test server-side rendering,https://nextjs.org/docs/app/building-your-application/rendering/client-components#moving-client-components-down-the-tree
App Router & Server Components,Bundle size too large,Entire app marked as Client Component,Move 'use client' to leaf components,Use Server Components for static content,Implement code splitting with dynamic imports,npx @next/bundle-analyzer,Check bundle size report,https://nextjs.org/docs/app/building-your-application/optimizing/bundle-analyzer
Server Components & Data Fetching,fetch() not working in component,Using fetch outside Server Component,Convert to async Server Component,Move fetch to data fetching function,Use SWR/React Query in Client Components,Check component is async function,Verify data loads on server render,https://nextjs.org/docs/app/building-your-application/data-fetching/fetching-caching-and-revalidating
Server Components & Data Fetching,Data not updating on page refresh,Aggressive caching preventing updates,Add cache: 'no-store' to fetch,Implement revalidation strategy,Use dynamic rendering with force-dynamic,curl -I http://localhost:3000/api/data,Check cache headers in response,https://nextjs.org/docs/app/building-your-application/data-fetching/fetching-caching-and-revalidating#opting-out-of-data-caching
Server Components & Data Fetching,Error: cookies() can only be called in Server Component,Using cookies in Client Component,Move cookie logic to Server Component,Pass cookie data as props,Use middleware for cookie handling,grep -r "cookies()" src/,Test cookie access in server context,https://nextjs.org/docs/app/api-reference/functions/cookies
Server Components & Data Fetching,Slow page loads with multiple API calls,Sequential data fetching,Use Promise.all for parallel requests,Implement data fetching at layout level,Use Suspense boundaries for streaming,Measure loading times in Network tab,Check waterfall in browser dev tools,https://nextjs.org/docs/app/building-your-application/data-fetching/patterns#parallel-data-fetching
Rendering Strategies,generateStaticParams not generating pages,Incorrect return format or function placement,Return array of param objects,Export function at page level,Check dynamic route naming,npx next build && ls .next/server/app,Verify static pages generated,https://nextjs.org/docs/app/api-reference/functions/generate-static-params
Rendering Strategies,Dynamic routes showing 404,Missing generateStaticParams or wrong config,Implement generateStaticParams function,Set dynamicParams = true for ISR,Check file naming convention,curl http://localhost:3000/your-route,Verify route responds correctly,https://nextjs.org/docs/app/building-your-application/routing/dynamic-routes
