Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Workflow Configuration,Invalid workflow file error,YAML syntax error or invalid structure,Fix YAML indentation and syntax,Validate against GitHub Actions schema,Use yamllint for local validation,yamllint .github/workflows/*.yml,Check workflow syntax in GitHub UI,https://docs.github.com/en/actions/using-workflows/workflow-syntax-for-github-actions
Workflow Configuration,Workflow not triggering,Incorrect event configuration or branch filters,Check event triggers in workflow file,Verify branch name matches filter,Add debug trigger for manual testing,git log --oneline | head -5,Push test commit to trigger workflow,https://docs.github.com/en/actions/using-workflows/events-that-trigger-workflows
Workflow Configuration,Steps not executing in order,Missing job dependencies or incorrect needs,Add explicit needs declarations,Use job outputs for data passing,Implement proper job dependency chain,grep -r "needs:" .github/workflows/,Check job execution order in logs,https://docs.github.com/en/actions/using-jobs/using-jobs-in-a-workflow
Job Orchestration,Job dependency cycle detected,Circular dependencies in needs declarations,Remove circular references in needs,Refactor job dependencies to be acyclic,Use conditional execution instead,grep -A 5 -B 5 "needs:" .github/workflows/,Draw dependency graph to identify cycles,https://docs.github.com/en/actions/using-jobs/using-jobs-in-a-workflow#defining-prerequisite-jobs
Job Orchestration,Matrix job failing inconsistently,Environment differences or race conditions,Pin specific versions in matrix,Add environment setup validation,Implement retry strategies for flaky tests,gh run list --limit 10,Compare failed vs successful matrix runs,https://docs.github.com/en/actions/using-jobs/using-a-matrix-for-your-jobs
Job Orchestration,Job skipped unexpectedly,Conditional expression evaluating to false,Check if conditions in job configuration,Verify context variables and expressions,Add debug output for condition values,echo '${{ toJSON(github) }}' in step,Test conditions with different triggers,https://docs.github.com/en/actions/learn-github-actions/expressions
Actions Integration,Action not found error,Incorrect action reference or version,Verify action exists in marketplace,Check action repository and version tags,Use full repository path with version,gh api /repos/actions/checkout/tags,Confirm action is publicly accessible,https://docs.github.com/en/actions/creating-actions/about-custom-actions
Actions Integration,Action version deprecated,Using outdated action version,Update to latest stable version,Pin to specific SHA instead of tag,Check action changelog for breaking changes,gh api /repos/actions/checkout/releases,Test workflow with updated action version,https://docs.github.com/en/actions/security-guides/security-hardening-for-github-actions
Actions Integration,Custom action input validation,Missing required inputs or wrong types,Add input validation in action.yml,Implement runtime input checking,Provide default values where appropriate,cat action.yml | grep -A 10 inputs:,Test action with various input combinations,https://docs.github.com/en/actions/creating-actions/metadata-syntax-for-github-actions
Security Management,Secret not found error,Secret not configured or wrong scope,Create secret at repository level,Verify secret name matches usage,Check environment-specific secrets,gh secret list --repo owner/repo,Confirm secret is available in workflow environment,https://docs.github.com/en/actions/security-guides/encrypted-secrets
Security Management,Insufficient permissions error,Workflow token lacks required permissions,Add explicit permissions to workflow,Use PAT with appropriate scopes,Configure OIDC authentication,echo '${{ github.token }}' | base64 -d,Test with minimal required permissions,https://docs.github.com/en/actions/security-guides/automatic-token-authentication
Security Management,Action security vulnerability,Using action with known security issues,Update action to patched version,Pin action to specific SHA,Replace with alternative secure action,npm audit --audit-level high,Review action security advisories,https://docs.github.com/en/actions/security-guides/security-hardening-for-github-actions
Performance Optimization,Workflow timeout,Job or step taking too long,Increase timeout-minutes setting,Optimize long-running operations,Implement job parallelization,time command_that_times_out,Monitor job execution time,https://docs.github.com/en/actions/using-workflows/workflow-syntax-for-github-actions#jobsjob_idtimeout-minutes
Performance Optimization,Cache miss frequently,Incorrect cache key or path,Review cache key strategy,Use more specific cache patterns,Implement cache warming,ls -la ~/.cache/,Check cache hit ratio in logs,https://docs.github.com/en/actions/using-workflows/caching-dependencies-to-speed-up-workflows
Performance Optimization,High runner costs,Inefficient runner selection or usage,Use smaller runner sizes when possible,Implement job parallelization,Optimize dependencies and builds,gh api /orgs/ORG/actions/billing/usage,Monitor runner usage and costs,https://docs.github.com/en/billing/managing-billing-for-github-actions/about-billing-for-github-actions
Custom Actions,JavaScript action failing,Runtime error in action code,Add error handling and logging,Validate inputs and outputs,Test action locally with act,node index.js with test inputs,Run action in isolation,https://docs.github.com/en/actions/creating-actions/creating-a-javascript-action
Custom Actions,Docker action build failure,Dockerfile syntax or dependency issues,Fix Dockerfile syntax and dependencies,Use multi-stage builds for optimization,Test docker build locally,docker build -t test-action .,Validate Docker image runs correctly,https://docs.github.com/en/actions/creating-actions/creating-a-docker-container-action
Custom Actions,Action marketplace publishing,Metadata validation or publishing issues,Validate action.yml metadata,Add proper tags and documentation,Test action before publishing,act -l to list available actions,Verify action appears in marketplace,https://docs.github.com/en/actions/creating-actions/publishing-actions-in-github-marketplace
Environment Management,Environment not found,Environment not configured in repository,Create environment in repository settings,Configure environment protection rules,Set environment-specific variables,gh api /repos/owner/repo/environments,Deploy to environment successfully,https://docs.github.com/en/actions/deployment/targeting-different-environments/using-environments-for-deployment
Environment Management,Deployment approval timeout,Manual approval not completed,Configure approval timeout settings,Set up automated approvals,Implement emergency bypass procedures,gh api /repos/owner/repo/deployments,Check deployment status and approvals,https://docs.github.com/en/actions/deployment/targeting-different-environments/using-environments-for-deployment
Environment Management,Environment variable not set,Missing environment configuration,Set environment variables in settings,Use repository or organization variables,Implement environment-specific configs,env | grep GITHUB_,Verify variables are accessible in workflow,https://docs.github.com/en/actions/learn-github-actions/variables
Caching Strategies,Build cache ineffective,Cache key too generic or specific,Optimize cache key with file hashes,Use multiple cache restore keys,Implement incremental caching,find . -name "*.lock" -o -name "package.json",Monitor cache hit rates,https://docs.github.com/en/actions/using-workflows/caching-dependencies-to-speed-up-workflows
Caching Strategies,Cache size limit exceeded,Cache content too large,Remove unnecessary cached files,Use cache path filters,Implement cache compression,du -sh ~/.cache/,Optimize cached content size,https://docs.github.com/en/actions/using-workflows/caching-dependencies-to-speed-up-workflows#usage-limits-and-eviction-policy
Caching Strategies,Stale cache causing issues,Cache not invalidated properly,Update cache key strategy,Implement cache versioning,Add cache cleanup steps,ls -la ~/.cache/ | head -10,Verify cache freshness,https://docs.github.com/en/actions/using-workflows/caching-dependencies-to-speed-up-workflows
Artifact Management,Artifact upload failure,File path or permissions issues,Check file paths and permissions,Use relative paths from workspace,Verify files exist before upload,find . -name "artifact-files*" -ls,Confirm artifact uploaded successfully,https://docs.github.com/en/actions/using-workflows/storing-workflow-data-as-artifacts
Artifact Management,Artifact download timeout,Network issues or artifact size,Implement download retry logic,Use artifact streaming for large files,Check artifact retention settings,gh run download RUN_ID,Verify artifact integrity after download,https://docs.github.com/en/actions/using-workflows/storing-workflow-data-as-artifacts
Artifact Management,Cross-job artifact sharing,Artifact not available between jobs,Ensure upload job completes successfully,Use correct artifact names,Implement proper job dependencies,gh api /repos/owner/repo/actions/artifacts,Verify artifact exists between jobs,https://docs.github.com/en/actions/using-workflows/storing-workflow-data-as-artifacts
Matrix Builds,Matrix configuration error,Invalid matrix syntax or values,Fix matrix strategy configuration,Use dynamic matrix generation,Implement matrix includes/excludes,echo '${{ toJSON(strategy.matrix) }}',Test matrix configuration locally,https://docs.github.com/en/actions/using-jobs/using-a-matrix-for-your-jobs
Matrix Builds,Matrix job resource conflicts,Concurrent jobs competing for resources,Implement resource locking,Use job concurrency controls,Stagger matrix job execution,gh run list --status in_progress,Monitor concurrent job execution,https://docs.github.com/en/actions/using-jobs/using-concurrency
Matrix Builds,Matrix job partial failures,Some matrix combinations failing,Implement continue-on-error strategy,Add matrix-specific conditionals,Use fail-fast: false setting,gh run view RUN_ID --log-failed,Identify failing matrix combinations,https://docs.github.com/en/actions/using-jobs/using-a-matrix-for-your-jobs
Debugging Workflows,Workflow logs insufficient,Missing debug information,Enable ACTIONS_STEP_DEBUG,Add custom logging steps,Use workflow annotations,export ACTIONS_STEP_DEBUG=true,Check enhanced debug logs,https://docs.github.com/en/actions/monitoring-and-troubleshooting-workflows/enabling-debug-logging
Debugging Workflows,Intermittent workflow failures,Race conditions or timing issues,Add explicit wait conditions,Implement retry mechanisms,Use workflow_run trigger for coordination,gh run list --status failure --limit 5,Identify failure patterns,https://docs.github.com/en/actions/monitoring-and-troubleshooting-workflows/about-monitoring-and-troubleshooting
Debugging Workflows,Runner environment issues,Inconsistent runner environments,Use container-based jobs,Pin runner OS versions,Implement environment validation steps,echo '${{ runner.os }}-${{ runner.arch }}',Verify consistent environments,https://docs.github.com/en/actions/using-github-hosted-runners/about-github-hosted-runners
