Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Document Modeling,Large document size warnings,Embedding too much data in single document,Move large arrays to separate collections,Use document references instead of embedding,Implement data archiving strategy,db.collection.stats(),Check average document size < 16MB,https://docs.mongodb.com/manual/core/data-model-design/
Document Modeling,Poor query performance on related data,Inefficient embedding vs referencing decisions,Analyze query patterns and optimize schema,Implement proper indexing on reference fields,Use aggregation pipeline with $lookup,db.collection.find().explain(),Verify index usage in query plans,https://docs.mongodb.com/manual/core/data-model-operations/
Document Modeling,Unbounded array growth,Storing arrays on the 'one' side of relationships,Move references to the 'many' side,Implement array size limits,Use separate collections for large arrays,db.collection.findOne() to inspect arrays,Monitor array sizes in documents,https://docs.mongodb.com/manual/tutorial/model-referenced-one-to-many-relationships-between-documents/
Aggregation Pipeline,Slow aggregation performance,Pipeline not utilizing indexes effectively,Add $match stages early in pipeline,Create compound indexes for sort operations,Enable allowDiskUse for large datasets,db.collection.aggregate().explain(),Check for IXSCAN in execution stats,https://docs.mongodb.com/manual/aggregation/aggregation-pipeline-optimization/
Aggregation Pipeline,$group not pushed down to shards,Group key not based on shard key,Modify grouping to include shard key,Restructure pipeline for pushdown optimization,Use compound shard key in grouping,db.collection.aggregate().explain(),Verify group pushdown in explain output,https://docs.mongodb.com/manual/core/aggregation-pipeline-sharded-collections/
Aggregation Pipeline,Memory exceeded error,Aggregation pipeline exceeds memory limit,Add { allowDiskUse: true } option,Optimize pipeline with early filtering,Break complex aggregations into stages,Monitor memory usage during execution,Check that allowDiskUse is enabled,https://docs.mongodb.com/manual/core/aggregation-pipeline-limits/
Indexing,COLLSCAN in explain output,Query not using available indexes,Create appropriate single-field index,Design compound index for query pattern,Reorder compound index fields (ESR rule),db.collection.find().explain('executionStats'),Verify IXSCAN instead of COLLSCAN,https://docs.mongodb.com/manual/indexes/
Indexing,High totalDocsExamined ratio,Index selectivity too low,Create more selective compound index,Add partial index with filter expression,Reorder index fields for better selectivity,Compare totalDocsExamined vs totalDocsReturned,Aim for 1:1 ratio of examined to returned,https://docs.mongodb.com/manual/tutorial/analyze-query-plan/
Indexing,Index not used for sort,Sort field not properly indexed,Create index matching sort order,Add sort fields to compound index,Use hint() to force index usage,db.collection.find().sort().explain(),Verify no in-memory sort in plan,https://docs.mongodb.com/manual/tutorial/sort-results-with-indexes/
Performance,Query timeout errors,Query execution time exceeds timeout,Optimize query with proper indexing,Increase maxTimeMS for complex queries,Implement query result pagination,Set maxTimeMS and monitor execution,Ensure queries complete within timeout,https://docs.mongodb.com/manual/reference/method/cursor.maxTimeMS/
Performance,High memory usage,Working set exceeds available RAM,Add more RAM or scale horizontally,Optimize queries to reduce working set,Implement data archiving strategy,db.serverStatus().mem,Monitor resident memory usage,https://docs.mongodb.com/manual/administration/analyzing-mongodb-performance/
Performance,Slow write operations,Too many indexes or large documents,Remove unused indexes,Optimize document structure,Use bulk write operations,db.collection.getIndexes() and profiler,Profile slow operations > 100ms,https://docs.mongodb.com/manual/tutorial/manage-the-database-profiler/
Connection Pool,Connection pool exhausted,Insufficient pool size configuration,Increase maxPoolSize setting,Implement connection retry logic,Optimize query patterns to reduce hold time,Monitor connection pool metrics,Check pool utilization vs limits,https://docs.mongodb.com/drivers/node/current/fundamentals/connection/connection-pools/
Connection Pool,Connection timeout errors,Network latency or pool configuration,Increase connectTimeoutMS setting,Configure retry logic with exponential backoff,Optimize network infrastructure,Test connection with ping,Verify connectivity to all replica members,https://docs.mongodb.com/drivers/node/current/fundamentals/connection/connection-troubleshooting/
Connection Pool,Frequent connection cycling,Improper pool lifecycle management,Adjust maxIdleTimeMS setting,Implement proper connection handling,Monitor connection creation/destruction patterns,Use connection pool monitoring events,Track connection lifecycle metrics,https://docs.mongodb.com/drivers/node/current/fundamentals/connection/connection-monitoring/
Replica Set,Primary election delays,Network partitions or configuration issues,Review replica set configuration,Adjust election timeout settings,Ensure proper network connectivity,rs.status() and rs.conf(),Verify all members are healthy,https://docs.mongodb.com/manual/core/replica-set-elections/
