Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
CI/CD Pipelines,Build failed: unable to resolve dependencies,Incorrect dependency management or network issues,Restart pipeline and clear cache,Configure proper dependency caching and registry access,Implement comprehensive dependency management with version locking and private registries,"gh run view <run-id>, docker system df",Check build success rate and cache hit ratio,https://docs.github.com/en/actions/using-workflows/caching-dependencies-to-speed-up-workflows
CI/CD Pipelines,Pipeline timeout after 10 minutes,Insufficient timeout settings or resource constraints,Increase pipeline timeout limit,Optimize build steps and enable parallel execution,Implement intelligent build optimization with matrix builds and resource scaling,"gh run list --status failed, kubectl top nodes",Monitor pipeline execution time improvements,https://docs.github.com/en/actions/learn-github-actions/usage-limits-billing-and-administration
CI/CD Pipelines,Tests failed: connection refused,Service dependencies not available during test execution,Restart test services manually,Configure proper service health checks and startup delays,Implement comprehensive test environment orchestration with service mesh,"docker logs <container>, kubectl get events",Verify test environment stability and service availability,https://docs.docker.com/compose/startup-order/
CI/CD Pipelines,No space left on device during build,Build cache and artifacts consuming disk space,Clear build cache and temporary files,Configure automated cache cleanup and size limits,Implement intelligent storage management with tiered cleanup strategies,"docker system df, df -h",Monitor disk usage patterns and cleanup effectiveness,https://docs.docker.com/config/pruning/
Containerization,ImagePullBackOff: Failed to pull image,Incorrect image tags or registry authentication,Check image name and registry credentials,Configure proper registry authentication and image policies,Implement automated image management with vulnerability scanning and promotion,"kubectl describe pod <name>, docker pull <image>",Verify image pull success rate and registry connectivity,https://kubernetes.io/docs/concepts/containers/images/
Containerization,CrashLoopBackOff: Container exits immediately,Application startup failures or missing dependencies,Check application logs and configuration,Configure proper startup probes and resource allocation,Implement comprehensive application health monitoring and automatic recovery,"kubectl logs <pod> --previous, kubectl describe pod <name>",Monitor container startup success and stability metrics,https://kubernetes.io/docs/tasks/debug/debug-application/debug-pods/
Containerization,OOMKilled: Container exceeded memory limit,Memory limits set too low for application requirements,Increase memory limits for container,Analyze memory usage patterns and set appropriate limits,Implement dynamic resource management with monitoring and auto-scaling,"kubectl top pods, docker stats",Verify memory utilization efficiency and OOM reduction,https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/
Containerization,Deployment has been failing to make progress,Rolling update strategy configuration issues or resource constraints,Rollback to previous version manually,Configure proper update strategy and resource allocation,Implement automated deployment strategies with canary releases and rollback automation,"kubectl describe deployment <name>, kubectl rollout status deployment/<name>",Monitor deployment success rate and rollback frequency,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/
Infrastructure,Terraform state lock could not be acquired,Concurrent Terraform operations or stale locks,Force unlock the Terraform state,Implement proper state locking with remote backend,Automated state management with CI/CD integration and conflict resolution,"terraform force-unlock <lock-id>, terraform state list",Verify state consistency and lock acquisition success,https://developer.hashicorp.com/terraform/language/state/locking
Infrastructure,Resource already exists but not tracked in state,Resources created outside Terraform or state drift,Import resource into Terraform state,Implement comprehensive resource tagging and tracking,Automated resource discovery and state synchronization,"terraform import <resource> <id>, terraform state show <resource>",Check state accuracy and resource tracking completeness,https://developer.hashicorp.com/terraform/cli/import
Infrastructure,Provider configuration not found,Missing or incorrect provider configuration,Add missing provider configuration block,Configure provider with proper authentication and regions,Implement centralized provider management with version constraints,"terraform providers, aws sts get-caller-identity",Verify provider connectivity and authentication success,https://developer.hashicorp.com/terraform/language/providers/configuration
Infrastructure,Cyclic dependency detected in resource graph,Circular dependencies in resource definitions,Remove circular dependencies manually,Restructure resources to eliminate cycles,Implement modular architecture with proper dependency management,"terraform graph, terraform plan",Validate dependency graph correctness and plan generation,https://developer.hashicorp.com/terraform/cli/commands/graph
Monitoring,Alert manager: too many alerts firing,Alert thresholds set too low causing noise,Adjust alert thresholds temporarily,Implement alert grouping and noise reduction strategies,Comprehensive alert management with SLIs/SLOs and intelligent routing,"curl -s http://prometheus:9090/api/v1/alerts, kubectl logs -n monitoring alertmanager",Monitor alert noise reduction and incident response quality,https://prometheus.io/docs/alerting/latest/alertmanager/
Monitoring,Metrics collection failing: connection timeout,Network connectivity issues to monitoring endpoints,Restart monitoring services,Configure proper network access and service discovery,Implement resilient monitoring architecture with redundancy and auto-recovery,"curl -s http://prometheus:9090/api/v1/query?query=up, kubectl logs -n monitoring prometheus",Check metrics collection success rate and endpoint availability,https://prometheus.io/docs/prometheus/latest/troubleshooting/
Monitoring,Dashboard loading slowly or timing out,Inefficient queries or too much data visualization,Reduce dashboard complexity and query frequency,Optimize queries and implement data aggregation,Comprehensive dashboard optimization with caching and intelligent data management,"curl -s http://grafana:3000/api/health, kubectl top pods -n monitoring",Verify dashboard response times and query performance,https://grafana.com/docs/grafana/latest/troubleshooting/
